token,class,count
ガスト,SSI_low,0
ガッツ,SSI_high,1
ガッツ,SSI_low,0
キックオフ,SSI_high,2
キックオフ,SSI_low,3
キャパオーバー,SSI_high,0
キャパオーバー,SSI_low,1
キャリアデザイン,SSI_high,1
キャリアデザイン,SSI_low,1
キャリアプラン,SSI_high,1
キャリアプラン,SSI_low,0
キリン堂,SSI_high,1
キリン堂,SSI_low,0
キーパーソン,SSI_high,0
キーパーソン,SSI_low,1
キーワード,SSI_high,0
キーワード,SSI_low,1
ギャップ,SSI_high,1
ギャップ,SSI_low,0
ギリギリ,SSI_high,2
ギリギリ,SSI_low,2
クイズ,SSI_high,1
クイズ,SSI_low,0
クイック,SSI_high,0
クイック,SSI_low,1
クゴ,SSI_high,0
クゴ,SSI_low,1
クズ,SSI_high,0
クズ,SSI_low,1
クライアント,SSI_high,1
クライアント,SSI_low,4
クリア,SSI_high,1
クリア,SSI_low,0
クリエイター,SSI_high,1
クリエイター,SSI_low,0
クリエイティブ,SSI_high,0
クリエイティブ,SSI_low,3
クレーム,SSI_high,0
クレーム,SSI_low,2
グダグダ,SSI_high,0
グダグダ,SSI_low,1
グループ,SSI_high,1
グループ,SSI_low,0
グループ会社,SSI_high,0
グループ会社,SSI_low,34
グロ,SSI_high,0
グロ,SSI_low,1
グロッキー,SSI_high,0
グロッキー,SSI_low,1
グロリエット,SSI_high,0
グロリエット,SSI_low,1
ケガ,SSI_high,0
ケガ,SSI_low,1
ケトル,SSI_high,0
ケトル,SSI_low,1
ケーキ,SSI_high,2
ケーキ,SSI_low,0
ゲート,SSI_high,1
ゲート,SSI_low,0
ゲーム,SSI_high,1
ゲーム,SSI_low,0
コミット,SSI_high,0
コミット,SSI_low,1
コミュニケーション,SSI_high,2
コミュニケーション,SSI_low,4
コミュニケーションスキル,SSI_high,0
コミュニケーションスキル,SSI_low,1
コメント,SSI_high,0
コメント,SSI_low,1
コロナ,SSI_high,1
コロナ,SSI_low,6
コンセプト,SSI_high,0
コンセプト,SSI_low,2
コンタクト,SSI_high,0
コンタクト,SSI_low,1
コンタクトセンター,SSI_high,0
コンタクトセンター,SSI_low,1
コンディション,SSI_high,0
コンディション,SSI_low,1
コンペ,SSI_high,1
コンペ,SSI_low,0
コース,SSI_high,1
コース,SSI_low,0
コーヒー,SSI_high,1
コーヒー,SSI_low,0
コーンスープ,SSI_high,1
コーンスープ,SSI_low,0
ゴチソウ,SSI_high,1
ゴチソウ,SSI_low,0
ゴルフ,SSI_high,1
ゴルフ,SSI_low,0
ゴール,SSI_high,1
ゴール,SSI_low,0
ゴールデン,SSI_high,0
ゴールデン,SSI_low,1
サウナ,SSI_high,1
サウナ,SSI_low,0
サテライト,SSI_high,0
サテライト,SSI_low,1
サポート,SSI_high,3
サポート,SSI_low,0
サンスター,SSI_high,1
サンスター,SSI_low,6
サンマ,SSI_high,0
サンマ,SSI_low,1
システム,SSI_high,1
システム,SSI_low,3
システム障害,SSI_high,0
システム障害,SSI_low,1
シャワー,SSI_high,0
シャワー,SSI_low,1
シャンプーハット,SSI_high,1
シャンプーハット,SSI_low,0
ショート,SSI_high,0
ショート,SSI_low,1
ショートカットキー,SSI_high,1
ショートカットキー,SSI_low,0
シルバーウィーク,SSI_high,0
シルバーウィーク,SSI_low,2
シート,SSI_high,1
シート,SSI_low,0
ジム,SSI_high,1
ジム,SSI_low,1
スカート,SSI_high,1
スカート,SSI_low,0
スキル,SSI_high,0
スキル,SSI_low,1
スケジュール,SSI_high,2
スケジュール,SSI_low,5
スタジオ,SSI_high,0
スタジオ,SSI_low,1
スタッフ,SSI_high,1
スタッフ,SSI_low,0
スタンド,SSI_high,1
スタンド,SSI_low,0
スタート,SSI_high,1
スタート,SSI_low,4
スタート!,SSI_high,2
スタート!,SSI_low,0
スタートダッシュ,SSI_high,0
スタートダッシュ,SSI_low,1
ステップ,SSI_high,0
ステップ,SSI_low,1
ストレス,SSI_high,2
